AccountAge,MonthlyCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,CustomerID,Churn,TotalCharges_log
24,11.71807596323982,Standard,,Yes,Both,No,TV,15.431673030605808,65.11007500357869,31,Sci-Fi,1,Male,16,No,KWCJPZTMBZ,1,5.741293472190524
87,15.000899788532776,Premium,Bank transfer,Yes,TV Shows,Yes,TV,37.83699164157948,121.85215558143412,29,Action,4,Female,13,No,A92ZOG2V1J,0,7.174784248011221
63,6.635013133011577,Premium,Credit card,No,TV Shows,Yes,Mobile,35.34919183774297,172.6618112615645,32,Comedy,6,Female,20,No,RZUWX2CJ0Q,0,5.484616787644966
78,19.852110570721035,Basic,Electronic check,Yes,Movies,No,TV,29.40402475928132,80.22383068354559,13,Comedy,2,Male,0,Yes,VJN9GFI0OP,0,7.345664746709842
97,13.48847457664928,Standard,Mailed check,Yes,TV Shows,Yes,TV,23.75808451173184,56.56707686243463,20,Action,7,Male,3,No,LNQN935XS9,1,7.177310575075056
2,15.426668190323372,Premium,Electronic check,No,TV Shows,No,Mobile,31.323503280378333,152.0381778776287,41,Comedy,3,Male,24,Yes,S0QK1ZQ4ZB,0,3.4611421294565123
85,15.034775599045052,Premium,Mailed check,Yes,Both,Yes,TV,10.55981728464131,69.41633740528245,37,Drama,2,Female,21,No,X0MDEL63NZ,0,6.60289229558681
89,15.37183293775692,Standard,,No,Both,No,Mobile,30.170199239850984,176.56925376817549,41,Comedy,6,Female,5,No,4T29LDSLLN,0,6.911999625598604
77,7.780374374436769,Basic,,Yes,TV Shows,Yes,Computer,23.81261425762337,62.44375432751656,28,Action,4,Female,0,Yes,318N9SO05V,1,6.397077688977994
113,19.61499197448325,Basic,Credit card,No,TV Shows,No,Mobile,29.14664661143008,83.65440622475244,24,Fantasy,3,Male,8,Yes,CBDV730UOG,0,7.7041330504221746
8,9.922063392908113,Premium,Mailed check,No,Both,Yes,Tablet,31.286757599044304,54.57718275763445,47,Comedy,0,Female,8,No,VCB3X9ZM3S,0,3.955418393474437
103,10.72652906711127,Standard,Bank transfer,Yes,TV Shows,Yes,TV,20.755264400793383,115.098616798753,15,Drama,9,Male,11,No,4TXBLWD375,0,7.008353718453528
76,8.794010017425707,Basic,,No,Movies,Yes,Mobile,24.40932020191881,161.45067852325676,27,Fantasy,0,Male,13,No,J2ZTONJLMC,0,6.3912822020103714
106,14.24087124250168,Standard,Credit card,No,TV Shows,No,Computer,15.288274315885134,59.98049838247941,35,Fantasy,3,Male,13,No,0KJGVNJL8N,0,7.320217418475671
7,12.493820459927742,Premium,,Yes,Movies,No,Tablet,14.224183704705103,95.4209057512576,36,Action,6,Male,4,No,5JBY0JE8LF,0,4.482513655342523
82,12.328261877946224,Standard,,Yes,TV Shows,Yes,TV,37.79171269856935,117.24086935873112,37,Comedy,0,Female,11,Yes,56V1FDEX23,0,6.572355436550311
26,12.633261108284174,Basic,Bank transfer,Yes,Movies,Yes,Mobile,25.53507700044215,155.67576810534135,37,Comedy,0,Female,20,Yes,SCEJCH4OP4,1,5.797469485760096
66,13.751909490384248,Basic,Bank transfer,Yes,Movies,No,Mobile,20.39577293671369,102.4710880578844,42,Fantasy,6,Male,4,No,EB0W1QH7VZ,0,6.811933597384968
37,15.41815522623574,Basic,,Yes,TV Shows,Yes,Computer,38.25352607881618,70.51122846066578,20,Fantasy,9,Male,21,Yes,S5WIVFDNN0,0,6.632276371015093
72,14.910685765173415,Basic,Credit card,Yes,TV Shows,Yes,Mobile,26.28452440312375,38.17272233147202,37,Fantasy,0,Male,16,Yes,AZAQP5JFUX,0,6.9796752789983225
18,15.622713707928243,Standard,Bank transfer,Yes,Both,Yes,TV,27.032723149521026,53.38442130649877,35,Comedy,2,Female,6,No,94GUYMPU6T,0,5.642647388121911
105,14.770331511590785,Standard,Electronic check,No,Movies,No,TV,22.18689102743464,113.69526861982604,44,Fantasy,5,Female,12,Yes,0H9S6H654F,0,7.347225476801157
20,6.880638282778266,Premium,,No,TV Shows,No,Computer,28.1204665445764,156.81588274842923,42,Comedy,4,Male,12,Yes,FH0H23YW0M,0,5.502526654309305
45,18.51943603089383,Premium,,Yes,TV Shows,No,Computer,25.07038796175069,110.35997094459236,14,Sci-Fi,0,Male,7,Yes,IUW1HLES8S,1,6.726682487823984
15,7.465709217067742,Standard,Bank transfer,No,Both,No,Computer,20.453793134132155,77.54316293007034,0,Fantasy,6,Female,8,No,E6LQV6844N,0,4.727260715555573
74,11.77589152464843,Standard,Credit card,No,Both,Yes,Computer,12.399784853548711,114.40517551602056,17,Sci-Fi,8,Female,6,No,59G4MT5L0S,0,6.760167917766578
46,9.791247181094892,Basic,Bank transfer,Yes,Both,Yes,TV,33.68800512862189,111.83169639823824,25,Comedy,6,Female,10,No,PRI44P2JBT,0,6.112348038780213
62,9.796647367960356,Standard,Electronic check,No,TV Shows,No,Mobile,38.47671814433908,97.46887977509935,22,Comedy,7,Female,2,No,MMNA6RJYF5,0,6.410819635932029
19,18.4359708211912,Basic,Credit card,No,Both,Yes,Mobile,2.4838697993021905,173.70379720765953,22,Action,0,Female,24,No,HKLEITP1IA,0,5.861593434912464
6,9.523391902793827,Premium,Credit card,No,Movies,Yes,Computer,25.28678129535825,44.07854950880273,8,Action,0,Female,2,No,T2ED1KDVR6,0,4.062859939432432
23,7.72548589747683,Basic,Credit card,No,TV Shows,No,Mobile,19.59306914873033,32.36622394010151,7,Comedy,0,Female,20,No,DFIYIYM3TK,0,5.185631058467612
109,11.305518353339531,Standard,Bank transfer,No,Both,Yes,TV,35.449429642459165,163.47997195935758,43,Action,2,Male,8,Yes,FZRJKPERVZ,0,6.869257878275694
26,11.209422074926596,Basic,Bank transfer,No,Movies,Yes,Tablet,5.228049854115215,22.44377291373981,24,Action,0,Male,18,No,OAWTET09CW,0,5.678276525720124
119,13.502818692542355,Standard,Electronic check,Yes,TV Shows,Yes,TV,12.111862390268156,12.49848119461238,26,Drama,7,Female,22,Yes,KM2QC8SV7C,0,6.1829955405581565
45,7.738310174232479,Basic,Electronic check,No,TV Shows,No,TV,26.94994499253555,57.08792657124925,40,Fantasy,7,Female,6,Yes,U7BU2SCCHI,0,5.855713429402595
111,13.438946246815172,Premium,Bank transfer,No,Movies,Yes,Mobile,38.25103033944436,142.52112960853452,13,Comedy,7,Male,15,Yes,53S9CYHTXM,0,7.138870483032411
104,6.732794665165834,Premium,Mailed check,No,Both,Yes,Computer,21.263146026496035,49.51944256364908,43,Action,7,Male,6,No,KFXH24VCIX,0,5.985885790819424
110,15.21280969712617,Standard,Credit card,No,Both,No,Computer,27.64704282302408,100.4340654839757,43,Action,5,Male,8,No,QDLZNIKBDV,0,7.253502098215172
67,12.90821229112442,Premium,Bank transfer,Yes,Both,Yes,Computer,10.821285023113234,23.244959103073377,17,Sci-Fi,1,Male,20,Yes,VOLEP42RI4,0,6.763711941532141
105,5.236173024650985,Basic,,No,Both,No,Mobile,11.59964825286882,61.33455709410255,19,Comedy,9,Male,3,No,2PV3FKTEN7,0,6.311368440030435
45,5.062338714057963,Basic,,No,Both,No,Mobile,29.512398661672066,86.60190000273313,24,Sci-Fi,4,Male,3,No,BAHIPO8823,0,5.432871170661923
12,19.64808306724581,Premium,Electronic check,Yes,Movies,Yes,Mobile,12.55071309277034,169.23743385172318,21,Fantasy,5,Male,22,Yes,XIB5D3UHRB,0,5.467118756428731
105,9.182763472386728,Basic,Electronic check,Yes,Movies,Yes,Computer,24.43151034759372,91.3734235281412,49,Comedy,4,Male,0,No,G48SX3KH6A,0,6.872325143687154
11,12.328261877946224,Basic,Electronic check,No,Movies,No,Computer,39.29819412529325,48.35721110573631,46,Fantasy,9,Female,0,Yes,8CGM9OR85P,0,6.572355436550311
52,11.280972210517136,Standard,,No,TV Shows,No,Tablet,3.688284056800218,64.0773515497817,7,Drama,1,Male,19,Yes,ZXKZKRKVDN,0,6.869257878275694
21,16.673054107134362,Premium,Credit card,No,Both,Yes,TV,33.271237927537186,96.7762621366086,44,Comedy,8,Male,22,Yes,NF9RGTY4VD,0,5.861168305021307
16,9.322244538046045,Basic,Credit card,No,TV Shows,No,Computer,21.436778832844816,173.1410030561647,7,Fantasy,4,Male,8,Yes,YA70YL4HCM,0,5.01167417166761
25,14.68055910357458,Standard,Bank transfer,Yes,TV Shows,Yes,TV,14.511512165103603,122.7981832592693,24,Drama,0,Male,5,No,RR7DWPO17O,0,5.908120920027406
92,14.776023905141212,Premium,Credit card,Yes,Movies,No,Mobile,6.164060982550646,96.45780218698702,30,Drama,3,Male,3,No,HBUU9YXPD0,0,7.215529789137616
80,10.915345038737032,Basic,Bank transfer,No,TV Shows,Yes,Mobile,17.35247004079642,35.435589839550794,12,Comedy,7,Male,0,Yes,OXNDMG3NC7,0,6.977016615569584
98,7.94007970919259,Standard,Credit card,Yes,TV Shows,No,Mobile,12.554392405429686,46.5674277837852,12,Comedy,4,Male,21,Yes,GBJGLPXBR5,0,6.6581751036588415
22,15.205564993669649,Basic,,No,Both,No,Computer,2.7249972939554308,159.09360131207944,15,Fantasy,9,Male,11,Yes,PM332INSGW,0,5.815688809201577
19,6.521996932713357,Premium,Credit card,No,TV Shows,Yes,Computer,10.757916034652332,99.7233410991908,47,Drama,7,Male,11,No,KGZIUGKUB6,1,5.431541326002683
104,8.063300806759333,Premium,,No,Both,No,Computer,11.753479113006614,109.113551655722,42,Comedy,1,Male,9,Yes,2DBPXLKT8K,0,6.732905678152008
85,13.04790600722314,Standard,Bank transfer,No,TV Shows,Yes,Mobile,15.655304055873184,81.58150329841074,27,Drama,9,Female,1,No,55VANP455P,0,7.166302271031106
62,19.156984627671672,Standard,,Yes,Both,Yes,TV,24.93478276959797,18.6057246782046,5,Drama,3,Female,13,Yes,3MBK6VMOCV,0,7.080643352488207
1,10.522985426554731,Premium,Bank transfer,Yes,Movies,No,Mobile,25.073791634726145,52.56780586243679,28,Action,9,Female,12,No,UW8ES4IYMI,0,2.6399213078610813
14,14.268111725937782,Premium,Electronic check,No,Both,No,Computer,11.248568751983774,62.58552280552126,34,Comedy,3,Female,2,No,VPJBEYNWQS,1,5.302078106906522
31,17.245287882333926,Premium,Bank transfer,Yes,Movies,Yes,TV,28.835836887334413,145.01617575065148,42,Sci-Fi,8,Male,2,Yes,5YJC1ZTRTJ,1,6.283394940810996
86,11.729898655737578,Basic,Credit card,Yes,TV Shows,No,TV,3.794326864539248,121.4418677441892,21,Fantasy,4,Male,5,No,HM6617H4JD,0,6.917479133095772
33,11.506819737723454,Premium,Electronic check,Yes,Movies,No,Mobile,23.772941097797805,169.57575794711633,9,Drama,2,Female,23,Yes,O3LM1DJEII,0,5.942077464598535
49,8.357330395067056,Premium,Bank transfer,Yes,Movies,Yes,TV,35.839673743047,93.49504256792648,0,Fantasy,5,Male,19,No,2LZWV9RQL8,0,6.017398314411197
53,8.920732965150389,Standard,Bank transfer,No,Movies,Yes,TV,28.78212104313832,165.79541674753295,43,Comedy,0,Female,18,Yes,V7E9XNI9DF,0,6.160782858528332
63,9.631315044544966,Standard,Electronic check,Yes,Movies,Yes,Computer,9.49095715075722,11.837806998583426,16,Comedy,1,Male,21,Yes,QHBAXJ9D6V,0,6.409801206576525
14,7.969210909385966,Premium,Bank transfer,Yes,Both,Yes,Computer,3.251119998800055,15.535141512655802,15,Comedy,7,Male,14,No,9C3BD8HX0R,1,4.723565947057945
26,9.979899421319349,Basic,Electronic check,No,Both,Yes,TV,31.794071232112564,116.06322243762814,35,Comedy,8,Female,7,Yes,DLTHWP80D3,0,5.826828688815286
2,16.125401389212946,Basic,Bank transfer,No,TV Shows,Yes,Mobile,24.74981585981924,11.988765017280857,30,Comedy,2,Female,4,No,VK85180DSE,1,7.329255632440603
15,7.745146161144696,Premium,Electronic check,No,TV Shows,No,Tablet,22.5710430258967,155.52074908996784,40,Sci-Fi,9,Male,19,Yes,2P78X3TX9B,0,4.763687254256049
80,12.762559237031072,Premium,Electronic check,No,Both,Yes,Computer,33.81220538514383,146.68215399903642,31,Fantasy,9,Male,22,Yes,5CM0GI004I,0,6.929521407702494
93,13.580876198604964,Basic,Electronic check,No,Both,No,Computer,22.00460464726173,114.89723449821854,43,Sci-Fi,4,Male,6,No,W2YUKP9QMF,0,7.142053573352089
28,12.328261877946224,Premium,Credit card,Yes,TV Shows,No,Mobile,37.76481999080919,96.31058633141733,30,Comedy,2,Male,6,Yes,V6CRGUK7OJ,0,6.572355436550311
87,6.800976410758331,Premium,,Yes,Both,No,Computer,32.51290337287777,67.76475082097075,0,Action,9,Male,12,Yes,JHYZISEKTU,0,6.3846629723788055
58,10.56514186624066,Premium,,Yes,TV Shows,No,Computer,6.1176464722420345,177.97499001868746,4,Sci-Fi,8,Male,17,Yes,P3ZXPQP59E,0,6.968992498898087
94,7.489711342172975,Standard,Electronic check,No,TV Shows,Yes,Computer,20.264660460024245,116.68683250974044,18,Drama,4,Female,11,No,3U07QWB58B,0,6.558244420398361
52,12.462209107795278,Basic,,Yes,TV Shows,No,TV,39.62781715118556,174.88358482869077,46,Comedy,8,Male,9,Yes,2O9NN81OX5,0,6.682488565910514
13,16.749766340499775,Standard,Electronic check,Yes,TV Shows,No,Mobile,9.42680451784198,173.18631891920054,3,Action,5,Male,5,No,UY02SJT9FM,0,5.387915639091013
20,9.094859342776411,Premium,Credit card,No,Both,No,Computer,17.021663801544207,160.97388792871337,18,Comedy,4,Female,8,No,SLTZTHJFZ9,1,5.984975134406538
103,16.514646857031412,Premium,,No,Both,No,Tablet,6.575285946461973,75.52050710701525,39,Sci-Fi,1,Female,18,No,4R07E19QKU,0,7.439564377436713
62,13.17734210133202,Basic,Credit card,No,Both,No,TV,34.49848201108829,65.21043318193,30,Comedy,4,Female,24,Yes,MH6D9EWVID,0,6.73781128999145
23,10.63451825959789,Standard,Mailed check,No,Both,Yes,TV,34.00190182214139,153.6770469787932,42,Sci-Fi,9,Male,13,No,7HY2MOSDW6,0,5.1450516504155175
65,18.27930491357521,Standard,,Yes,Movies,No,Mobile,31.138272354964933,141.43190722782916,30,Fantasy,9,Male,16,No,ZTOJZGRVC4,0,7.080998097955515
75,13.30898090330066,Basic,Bank transfer,No,Both,Yes,Mobile,24.31852704020134,119.33690525089314,47,Comedy,5,Male,17,No,A931RZPGP2,0,6.906928505046287
43,7.680618304577466,Standard,Bank transfer,No,Both,No,Mobile,18.286665215694097,149.80190601471733,39,Comedy,0,Male,19,No,R4SINC9IQZ,0,5.802923450301343
45,14.303487059125194,Premium,Credit card,Yes,Movies,Yes,Tablet,32.53521490963664,65.25669399818736,15,Drama,6,Female,5,No,7NXSSI06MN,0,6.707049385742256
48,18.780445107422267,Standard,Credit card,Yes,Movies,Yes,Computer,22.3039554734021,29.89036403580573,1,Drama,2,Male,1,No,DM6BMTS1AS,0,6.805125880599603
19,10.016793393050134,Basic,Electronic check,No,Both,No,Computer,38.61154741669043,143.30530521083986,8,Comedy,8,Female,22,Yes,KBG5OB2YIW,0,5.133441267646635
39,11.997948756725638,Premium,Credit card,Yes,Both,Yes,Mobile,11.5606688474968,13.485059337505904,32,Fantasy,9,Male,14,Yes,RSZFX28GG3,1,6.529348463949258
44,12.07501741586919,Premium,Electronic check,Yes,Movies,No,Tablet,35.68046040870127,49.354601871260506,48,Fantasy,9,Male,20,Yes,4PCP1V37SI,0,6.624945776928087
31,5.463793811782976,Standard,Bank transfer,Yes,Both,Yes,Computer,10.31299563070547,92.14099146893328,5,Comedy,5,Female,24,Yes,SCFG260GEA,0,5.138017198279699
71,5.084423904802613,Standard,Electronic check,No,Movies,No,Mobile,8.174093809914606,70.25383064222262,25,Fantasy,2,Female,14,Yes,NRLC9JJS9S,0,5.891627905728699
5,11.490904967556103,Premium,Bank transfer,No,Both,Yes,Computer,15.579982226317355,115.70888850048564,40,Action,2,Male,17,No,B6SIIXSQOS,0,4.064722975742249
43,8.865387683501357,Premium,,No,Movies,No,Mobile,35.3777249358419,115.10533415456264,37,Comedy,8,Male,3,No,J647T7HQQL,0,5.945974566113828
64,6.190149535602858,Premium,Electronic check,Yes,Movies,Yes,Computer,26.094800371746054,90.24929986396717,44,Fantasy,0,Male,1,Yes,AH3L1MRZRR,0,5.853407349276442
80,12.328261877946224,Premium,,No,TV Shows,Yes,Computer,1.5662312590939051,99.92343722938276,23,Comedy,0,Male,13,Yes,4PX89Y1RQA,0,6.572355436550311
106,18.95105440126732,Basic,Electronic check,Yes,Both,No,TV,34.25790597133126,139.01892793847654,21,Drama,5,Female,18,Yes,3FDWNZRH2D,0,7.605796348177447
46,10.128836100800292,Premium,Credit card,No,TV Shows,No,TV,33.53672268026051,37.76650423808584,18,Drama,9,Male,9,No,Y7Q0UE0U1M,0,6.146171773399122
9,10.205612973563,Premium,Electronic check,No,Both,No,Computer,16.979580864388332,150.5060986445366,41,Drama,6,Male,0,No,HN78JG14TS,0,5.046591640350536
100,12.870402837701722,Premium,Electronic check,No,TV Shows,Yes,TV,10.594691998838014,33.21299683768329,31,Action,0,Male,16,No,74YHNQ6G75,0,7.042235312692545
98,19.02152488578505,Basic,Bank transfer,Yes,Both,No,Mobile,1.380466745351029,91.870700788936,17,Sci-Fi,9,Female,13,No,RLNIID3XWT,1,7.33155476940932
39,7.520022143067342,Premium,Electronic check,Yes,Both,Yes,TV,30.17973628841128,81.08144911749876,26,Fantasy,0,Male,4,Yes,87D7OLH270,0,5.684534629610615
70,10.482003484994912,Standard,,Yes,TV Shows,No,Mobile,11.567204948868754,42.77790509535797,1,Fantasy,8,Male,5,Yes,P6L806SMU4,1,6.599517027156628
29,9.610559155800727,Standard,Electronic check,No,Both,No,Computer,25.45759865676794,99.44781816116422,15,Fantasy,5,Male,9,Yes,FCTLMSLMQJ,0,5.633739822049749
92,10.364502517846944,Premium,Credit card,Yes,TV Shows,No,Mobile,29.727838985431347,39.91319918862807,13,Comedy,0,Female,18,Yes,G3AKTVZVV9,0,6.861223505950613
109,7.418513931584568,Basic,Electronic check,Yes,Movies,Yes,Mobile,7.686830377951292,131.44252948316043,30,Fantasy,1,Male,7,Yes,7L6GJZ94PQ,0,6.696562554390674
92,14.450433995442438,Premium,Electronic check,No,Both,Yes,Mobile,9.640879895936832,86.4871522254564,13,Sci-Fi,8,Female,17,No,Z8H53DC791,0,7.193264939139668
16,5.173754551461478,Premium,Credit card,Yes,Both,No,Mobile,4.833288617556521,127.70950212604666,13,Sci-Fi,3,Female,10,Yes,MSSFBJYVA5,0,4.428195184740087
47,8.922393723561846,Standard,Mailed check,No,Movies,No,Tablet,30.65890865280438,8.829009066615566,28,Comedy,6,Male,8,Yes,UMFLMSRD0Q,0,6.0410936569007845
40,13.607754438358882,Standard,Electronic check,Yes,TV Shows,Yes,Tablet,31.42253253433765,39.2363328695568,13,Sci-Fi,0,Male,18,No,YSBXJUEX0T,0,6.30135476585899
81,10.975714331761695,Premium,Bank transfer,Yes,TV Shows,Yes,Computer,18.35221026046252,86.23345361085529,19,Sci-Fi,1,Male,19,No,4RAT7BS0L4,0,6.791258384373447
118,10.477516749557084,Basic,,Yes,Both,Yes,Computer,28.85581404901848,144.7643052447273,33,Comedy,5,Male,7,No,QMSBTHUBOD,0,6.503862894384461
13,18.409014051747683,Standard,Credit card,No,TV Shows,Yes,TV,18.44881545302228,69.8504778399645,21,Fantasy,0,Male,2,No,1LI3AQJFP6,0,5.481959645274362
103,16.198210690955932,Standard,Bank transfer,Yes,Movies,No,Mobile,32.12117345369401,128.92730655491255,16,Comedy,5,Male,16,Yes,P0UW71OPWI,0,7.199755551059491
82,14.215460489603572,Premium,Electronic check,No,Movies,Yes,Computer,14.402982505534457,153.30210340965007,1,Action,3,Male,15,No,4C9VVJ76OX,0,7.061906896078236
2,6.895624252307624,Basic,Electronic check,No,TV Shows,Yes,Mobile,30.042512752961187,124.1554327377488,22,Fantasy,0,Male,16,No,D36302KBBA,1,2.694035688617345
86,10.32131524641283,Standard,,Yes,Both,No,Tablet,11.23621056596544,37.07966082114843,24,Sci-Fi,8,Female,21,No,FS3L3723G0,0,6.789684452008246
80,12.99789303201885,Standard,Mailed check,No,Movies,No,Computer,22.69124873576752,179.5956048834294,45,Fantasy,5,Female,13,No,3OYMTQDGCI,0,6.947775136735745
94,11.45367236984088,Premium,Electronic check,Yes,TV Shows,Yes,TV,31.43867190050515,125.92560780374546,37,Action,1,Male,6,No,PQ3OE3IV47,0,6.606173006712323
93,19.6513614264696,Standard,Credit card,Yes,Movies,No,TV,1.653820166516171,143.17168004088236,38,Comedy,8,Male,15,No,959FN5DIWG,0,7.511293135897729
95,15.963090327629011,Standard,,No,Both,No,TV,15.761617681574306,71.32438099145163,1,Drama,4,Male,6,Yes,76ILSKGTXV,0,7.457558278526941
97,18.741364823706007,Standard,Credit card,Yes,Movies,Yes,TV,31.52822319813225,29.49199216102492,29,Drama,3,Male,14,Yes,CCZLTRQXUN,0,7.505994012377109
85,16.06581166298571,Standard,Credit card,Yes,Movies,No,Mobile,2.047874810807236,69.4447054569772,39,Drama,1,Male,16,No,RW8BHOP2GW,1,7.220076785552133
5,18.401244873390283,Basic,Bank transfer,Yes,TV Shows,No,Computer,36.19593218966247,122.3675914914066,26,Drama,3,Female,13,Yes,NWRCRG0LLN,0,4.532666419590528
104,9.660164387065931,Basic,,No,Movies,Yes,Mobile,6.983209290198909,68.58594402499028,1,Fantasy,6,Female,5,No,0N2YDSLDKE,0,5.9504090840497765
96,11.310696886913192,Premium,Mailed check,No,TV Shows,Yes,TV,36.97431597550251,84.24406552286727,1,Comedy,6,Female,0,No,8Y4EB81DID,0,6.991017629862402
84,18.65108583639656,Standard,Bank transfer,No,Movies,Yes,TV,23.665462280442,32.91343925428535,13,Action,5,Male,11,Yes,W4D82JGRSR,1,7.357359249282797
10,12.328261877946224,Standard,,Yes,Movies,Yes,Computer,19.86516821782215,77.53799117634372,34,Comedy,7,Male,20,No,86F5GYIU4B,0,6.572355436550311
70,17.11669827429529,Basic,,Yes,TV Shows,No,Mobile,25.446577588203148,166.72885321847707,23,Comedy,0,Female,8,Yes,GSY02BHXUI,0,7.089383995151339
96,5.126881608910928,Premium,,Yes,Both,No,Computer,22.10971491494528,40.86941156202512,34,Drama,4,Female,19,No,T5A5GUDGHH,0,6.20087550542491
55,12.228522320554733,Basic,,No,Both,No,Computer,14.318670979436916,165.3747234937333,25,Comedy,7,Male,9,No,JXCF0T7PWE,1,6.512590036123733
109,8.024188057163144,Premium,,No,Both,No,Tablet,1.0325657591694517,73.87243499744919,28,Sci-Fi,3,Female,17,Yes,1SEDHZRPXU,0,6.774951048460624
117,18.625728153333483,Standard,Electronic check,No,Both,No,Tablet,15.474087924390153,140.27547080408934,17,Sci-Fi,5,Male,15,No,3KLVFZM7OJ,0,7.687176570373639
74,9.040513990630396,Basic,Electronic check,No,Both,No,Computer,30.11386785028866,130.54074184839573,44,Sci-Fi,2,Male,10,No,68ZNRI2572,0,6.507274780002577
77,12.328261877946224,Standard,Credit card,Yes,TV Shows,No,Mobile,35.74416675954362,135.24173516298126,42,Fantasy,9,Male,3,No,W813C4GC5Q,0,6.572355436550311
74,9.687673669390394,Basic,Bank transfer,No,TV Shows,No,Computer,10.063284669012688,68.15792539635528,34,Action,5,Male,14,No,570S7DXPHT,1,6.576313361214557
89,11.538943079309188,Premium,Bank transfer,Yes,Both,Yes,Computer,12.590745480970348,171.2166008382964,19,Comedy,7,Male,6,Yes,UOVRUIE484,0,6.7908814679407605
110,13.275556672453767,Premium,Electronic check,Yes,TV Shows,No,TV,32.863600886276714,149.45828503484972,35,Fantasy,6,Male,8,No,1QFYKNRAMM,0,7.287089417105826
14,10.363821225522525,Premium,Credit card,No,TV Shows,No,Mobile,31.44414095826228,111.65433497474172,47,Sci-Fi,4,Male,10,No,FKYXDCALD8,0,5.595864087381613
